id	label	type
N81	book	translation
N81	book	semantic
N81	book	syntactic
N82	thick	translation
N82	thick	semantic
N83	catch	translation
N83	catch	semantic
N83	catch	systematicity
N84	move–around	translation
N85	focus/narrow	translation
N86	big	translation
N86	big	semantic
N86	big	syntactic
N87	hear	translation
N87	hear	semantic
N87	hear	systematicity
N88	flower	translation
N88	flower	semantic
N88	flower	syntactic
N89	secret	translation
N89	secret	semantic
N89	secret	syntactic
N90	stink	translation
N90	stink	semantic
N90	stink	syntactic
N91	republican	translation
N91	republican	semantic
N92	(k)kitchen	translation
N93	legislature	translation
N93	legislature	semantic
N94	lobster_3	translation
N94	lobster_3	syntactic
N95	#pe	translation
N96	forehead	translation
N96	forehead	semantic
N96	forehead	phonological
N97	write–sentence	translation
N98	boil	translation
N98	boil	semantic
N98	boil	systematicity
N99	bath+fs–tub	translation
N100	suspend	translation
N100	suspend	semantic
N100	suspend	syntactic
N101	apple	translation
N101	apple	semantic
N101	apple	syntactic
N102	law	translation
N102	law	semantic
N102	law	syntactic
N103	door+square	translation
N104	hospital	translation
N104	hospital	semantic
N104	hospital	syntactic
N104	hospital	systematicity
N105	mumps	translation
N105	mumps	semantic
N106	feel+none/nothing	translation
N107	nipples	translation
N107	nipples	semantic
N108	boat	translation
N108	boat	semantic
N108	boat	syntactic
N109	pea–brain	translation
N110	beautiful+dress/clothes	translation
N111	see	translation
N111	see	semantic
N111	see	syntactic
N112	bite	translation
N112	bite	semantic
N112	bite	syntactic
N112	bite	systematicity
N113	thin	translation
N113	thin	semantic
N113	thin	syntactic
N114	fs–mayo	translation
N115	ugly	translation
N115	ugly	semantic
N115	ugly	syntactic
N116	cent+one	translation
N117	poke	translation
N117	poke	semantic
N118	white+(5)face	translation
N119	court+agent	translation
N120	every–friday	translation
N121	(1)report+agent	translation
N122	bother	translation
N122	bother	semantic
N122	bother	syntactic
N123	force	translation
N123	force	semantic
N124	beans	translation
N124	beans	semantic
N124	beans	syntactic
N125	advise/influence	translation
N126	deodorant	translation
N126	deodorant	semantic
N126	deodorant	syntactic
N127	eight–months	translation
N128	end	translation
N128	end	semantic
N128	end	syntactic
N129	must	translation
N129	must	semantic
N129	must	syntactic
N130	turn–down	translation
N131	turn+girl+correct	translation
N132	(v)face+nice/clean	translation
N133	watermelon	translation
N133	watermelon	semantic
N134	catch–ball	translation
N135	temperature	translation
N135	temperature	semantic
N136	bag	translation
N136	bag	semantic
N136	bag	syntactic
N136	bag	systematicity
N137	rock	translation
N137	rock	semantic
N137	rock	syntactic
N138	wild_2	translation
N139	garage/submarine	translation
N140	mature	translation
N140	mature	semantic
N141	angle	translation
N141	angle	semantic
N142	other	phonological
N142	other	translation
N142	other	semantic
N142	other	syntactic
N143	get–rid–of	translation
N144	background	translation
N144	background	semantic
N145	class	translation
N145	class	semantic
N145	class	syntactic
N146	lend	translation
N146	lend	semantic
N146	lend	syntactic
N147	(cocked–8)fool	translation
N148	straw	translation
N148	straw	semantic
N148	straw	syntactic
N149	surprise	semantic
N149	surprise	translation
N149	surprise	syntactic
N150	squeeze	translation
N150	squeeze	semantic
N150	squeeze	syntactic
N151	care_2+agent	translation
N152	second	translation
N152	second	semantic
N153	sentence	translation
N153	sentence	semantic
N153	sentence	syntactic
N154	direct+agent	translation
N155	green	translation
N155	green	semantic
N155	green	syntactic
N156	sex/gender	translation
N157	jump–forward	translation
N158	analyze	translation
N158	analyze	semantic
N158	analyze	syntactic
N159	neat	translation
N159	neat	semantic
N160	broke	translation
N160	broke	semantic
N161	robot	translation
N161	robot	semantic
N161	robot	syntactic
N162	middle+west	translation
N163	to–fool	translation
N164	play+ground	translation
N165	voice+(1)temperature/pitch	translation
N166	write+agent	translation
N167	(2h)alt.fire+place	translation
N168	energy	translation
N168	energy	semantic
N168	energy	syntactic
N169	blow–nose	translation
N170	with+neg	translation
N171	kite	translation
N171	kite	semantic
N171	kite	syntactic
N171	kite	systematicity
N172	grief	translation
N172	grief	semantic
N173	overflow	translation
N173	overflow	semantic
N174	turn+motherwg	translation
N175	become+box/room	translation
N176	pimples	translation
N176	pimples	semantic
N177	predict	translation
N177	predict	semantic
N177	predict	syntactic
N178	succeed	translation
N178	succeed	semantic
N179	ninety–eight	translation
N179	ninety–eight	semantic
N180	switch	translation
N180	switch	semantic
N181	now+(d)day	translation
N182	cardigan	translation
N182	cardigan	semantic
N183	#early	translation
N184	used–to	translation
N185	every–year	translation
N186	low	translation
N186	low	semantic
N187	perspective	translation
N187	perspective	semantic
N187	perspective	syntactic
N188	not+satisfied	translation
N189	simple	translation
N189	simple	semantic
N190	less	translation
N190	less	semantic
N190	less	syntactic
N191	always+forever_2	translation
N192	collapse	translation
N192	collapse	semantic
N193	milk	translation
N193	milk	semantic
N193	milk	syntactic
N193	milk	systematicity
N194	worth+neg	translation
N195	high–on–drugs	translation
N196	thirty–three	translation
N196	thirty–three	semantic
N197	dinosaur	translation
N197	dinosaur	semantic
N197	dinosaur	syntactic
N197	dinosaur	systematicity
N198	against	translation
N198	against	semantic
N198	against	syntactic
N198	against	systematicity
N199	blue	translation
N199	blue	semantic
N199	blue	syntactic
N200	tradition	translation
N200	tradition	semantic
N200	tradition	syntactic
N201	old_2+less–than	translation
N202	buffalo	translation
N202	buffalo	semantic
N202	buffalo	syntactic
N203	a–lot	translation
N203	a–lot	semantic
N204	now	translation
N204	now	semantic
N204	now	syntactic
N205	earmuff	translation
N205	earmuff	semantic
N206	eat_2+morning	translation
N207	boy+correct	translation
N208	capital–letter	translation
N209	deny	translation
N209	deny	semantic
N209	deny	syntactic
N210	blue+berry	translation
N211	female–cousin	translation
N212	engineering+agent	translation
N213	(2h)thumbs–up/good+applause	translation
N214	qmwg	translation
N215	seem	translation
N215	seem	semantic
N215	seem	syntactic
N216	nine	translation
N216	nine	semantic
N216	nine	syntactic
N217	old+two_2	translation
N218	tape	translation
N218	tape	semantic
N218	tape	syntactic
N219	lie	translation
N219	lie	semantic
N219	lie	syntactic
N220	three–fourths	translation
N220	three–fourths	semantic
N221	yawn	translation
N221	yawn	semantic
N221	yawn	systematicity
N222	(x)fool/doll+(d)day	translation
N223	ground+area	translation
N224	file	translation
N224	file	semantic
N224	file	systematicity
N225	goat	translation
N225	goat	semantic
N225	goat	syntactic
N226	umbrella	translation
N226	umbrella	semantic
N226	umbrella	syntactic
N227	each+one–pl–arc	translation
N228	bottle	translation
N228	bottle	semantic
N228	bottle	syntactic
N229	age–five	translation
N230	nine–months	translation
N231	phone+push–buttons	translation
N232	(1h)happy+year	translation
N233	proud	translation
N233	proud	semantic
N234	(cheek)blind	translation
N235	program	translation
N235	program	semantic
N235	program	syntactic
N236	wall	translation
N236	wall	semantic
N236	wall	syntactic
N237	hang–up–phone	translation
N238	slippery	translation
N238	slippery	semantic
N239	bed	translation
N239	bed	semantic
N239	bed	syntactic
N239	bed	systematicity
N240	near	translation
N240	near	semantic
N240	near	syntactic
N241	home	translation
N241	home	semantic
N241	home	syntactic
N242	disappear	translation
N242	disappear	semantic
N242	disappear	syntactic
N243	laugh	translation
N243	laugh	semantic
N243	laugh	syntactic
N244	two–weeks	translation
N245	hair_2+blond	translation
N246	report+agent	translation
N247	body	phonological
N247	body	translation
N247	body	semantic
N247	body	syntactic
N248	interesting	translation
N248	interesting	semantic
N249	clip–nails	translation
N250	toothpaste	translation
N250	toothpaste	semantic
N251	move	translation
N251	move	semantic
N251	move	syntactic
N252	brave/recover	translation
N253	egg	translation
N253	egg	semantic
N253	egg	syntactic
N254	exact	translation
N254	exact	semantic
N255	notice	translation
N255	notice	semantic
N256	one+hundred	translation
N257	member	translation
N257	member	semantic
N257	member	syntactic
N258	(2h)alt.haircut+agent	translation
N259	list–order	translation
N260	drive	translation
N260	drive	semantic
N260	drive	syntactic
N261	cream	translation
N261	cream	semantic
N261	cream	syntactic
N261	cream	systematicity
N262	three_2+hour	translation
N263	relationship–off	translation
N264	(2h)bed+cushion	translation
N265	computer_6	translation
N266	sophomore_2	translation
N267	cookie	translation
N267	cookie	semantic
N267	cookie	syntactic
N268	authority	translation
N268	authority	semantic
N269	distribute	translation
N269	distribute	semantic
N270	choke	translation
N270	choke	semantic
N270	choke	syntactic
N271	science+agent	translation
N272	get–out	translation
N273	court	translation
N273	court	semantic
N274	inspire	translation
N274	inspire	semantic
N274	inspire	syntactic
N275	fingerprints	translation
N275	fingerprints	semantic
N276	earth+globe	translation
N277	hypocrite	translation
N277	hypocrite	semantic
N277	hypocrite	syntactic
N278	kidney	translation
N278	kidney	semantic
N279	vinegar	translation
N279	vinegar	semantic
N280	beer	translation
N280	beer	semantic
N280	beer	syntactic
N281	eat+noon	translation
N282	attention–wave	translation
N283	area	translation
N283	area	semantic
N283	area	syntactic
N284	drill	translation
N284	drill	semantic
N284	drill	syntactic
N285	when	translation
N285	when	semantic
N285	when	syntactic
N286	illegal	translation
N286	illegal	semantic
N287	mix–up	translation
N287	mix–up	semantic
N288	decorate	translation
N288	decorate	semantic
N288	decorate	systematicity
N289	flunk	translation
N289	flunk	semantic
N290	left	translation
N290	left	semantic
N290	left	syntactic
N291	any+one	translation
N292	team	translation
N292	team	semantic
N292	team	syntactic
N293	calm–down	translation
N294	calculator+agent	translation
N295	silly	semantic
N295	silly	translation
N295	silly	syntactic
N296	channel	translation
N296	channel	semantic
N296	channel	syntactic
N297	#or	translation
N298	bull	translation
N298	bull	semantic
N298	bull	syntactic
N299	parachute	translation
N299	parachute	semantic
N299	parachute	syntactic
N299	parachute	systematicity
N300	get	translation
N300	get	semantic
N300	get	syntactic
N301	empty/naked	translation
N302	age–two	translation
N303	salt	translation
N303	salt	semantic
N303	salt	syntactic
N304	favorite/prefer	translation
N305	vein+nervy	translation
N306	deposit	translation
N306	deposit	semantic
N307	question	translation
N307	question	semantic
N308	perfect	translation
N308	perfect	semantic
N308	perfect	syntactic
N309	independent	translation
N309	independent	semantic
N309	independent	syntactic
N310	dorm	translation
N310	dorm	semantic
N311	beg+agent	translation
N312	(2h)think+agree	translation
N313	seven+hour	translation
N314	impress	translation
N314	impress	semantic
N314	impress	syntactic
N315	brother+in+law	translation
N316	picture	semantic
N316	picture	translation
N316	picture	syntactic
N317	worth+neg_2	translation
N318	picnic	translation
N318	picnic	semantic
N318	picnic	syntactic
N319	love	translation
N319	love	semantic
N319	love	syntactic
N320	cause	translation
N320	cause	semantic
N320	cause	syntactic
N321	ribs	translation
N321	ribs	semantic
N322	wait–a–minute	translation
N323	gas/gas–up	translation
N324	duck	translation
N324	duck	semantic
N324	duck	syntactic
N324	duck	systematicity
N325	show–2p+agent	translation
N326	bald+all–gone	translation
N327	(g)thanksgiving	translation
N328	want_2+neg	translation
N329	auction	translation
N329	auction	semantic
N330	nurse	translation
N330	nurse	semantic
N330	nurse	syntactic
N331	technology+agent	translation
N332	christmas	translation
N332	christmas	semantic
N332	christmas	systematicity
N333	fly–kite	translation
N334	wrong	translation
N334	wrong	semantic
N335	think	translation
N335	think	semantic
N335	think	syntactic
N336	false	translation
N336	false	semantic
N337	nothing–at–all	translation
N338	fs–hall	translation
N339	parallel	translation
N339	parallel	semantic
N339	parallel	syntactic
N340	refuse	translation
N340	refuse	semantic
N340	refuse	syntactic
N341	#tty	translation
N342	girl+friend	translation
N343	manage/control+agent	translation
N344	renovation+agent	translation
N345	sick	translation
N345	sick	semantic
N345	sick	syntactic
N346	merge/mainstream	translation
N347	giraffe	translation
N347	giraffe	semantic
N347	giraffe	syntactic
N348	right	translation
N348	right	semantic
N349	government+agent	translation
N350	sandwich	translation
N350	sandwich	semantic
N350	sandwich	syntactic
N350	sandwich	systematicity
N351	rabbi_2	translation
N352	virgin	translation
N352	virgin	semantic
N353	music+group	translation
N354	shh+hide	translation
N355	grab	translation
N355	grab	semantic
N355	grab	syntactic
N356	sunday	translation
N356	sunday	semantic
N356	sunday	systematicity
N357	flip–flop	translation
N357	flip–flop	semantic
N358	throw–softball	translation
N359	visit	translation
N359	visit	semantic
N359	visit	syntactic
N360	few	translation
N360	few	semantic
N360	few	syntactic
N361	trim–hedge	translation
N362	lock	translation
N362	lock	semantic
N362	lock	syntactic
N362	lock	systematicity
N363	old+testament	translation
N364	learn	semantic
N364	learn	translation
N364	learn	syntactic
N365	upstairs	translation
N365	upstairs	semantic
N366	boy_2+correct+law	translation
N367	act	translation
N367	act	semantic
N367	act	syntactic
N368	open	phonological
N368	open	translation
N368	open	semantic
N368	open	syntactic
N369	year	translation
N369	year	semantic
N369	year	syntactic
N370	every–wednesday	translation
N371	smoke	translation
N371	smoke	semantic
N371	smoke	syntactic
N372	last–year	translation
N373	next+agent	translation
N374	twenty–two	translation
N374	twenty–two	semantic
N375	think+general	translation
N376	half	translation
N376	half	semantic
N376	half	syntactic
N377	language	semantic
N377	language	translation
N377	language	syntactic
N378	cat+fs–up	translation
N379	motherwg+law	translation
N380	help	translation
N380	help	semantic
N380	help	syntactic
N381	character	translation
N381	character	semantic
N381	character	syntactic
N382	characteristic	translation
N382	characteristic	semantic
N383	brown	translation
N383	brown	semantic
N383	brown	syntactic
N384	never	translation
N384	never	semantic
N384	never	syntactic
N385	turn+sister	translation
N386	blow	translation
N386	blow	semantic
N386	blow	syntactic
N387	pilgrim	translation
N387	pilgrim	semantic
N388	surround	translation
N388	surround	semantic
N389	fight	translation
N389	fight	semantic
N389	fight	syntactic
N390	messed–up	translation
N391	polite	translation
N391	polite	semantic
N392	blue+fs–berry	translation
N393	workshop	translation
N393	workshop	semantic
N393	workshop	syntactic
N394	buy	translation
N394	buy	semantic
N394	buy	syntactic
N395	marry	translation
N395	marry	semantic
N395	marry	syntactic
N396	lucky	translation
N396	lucky	semantic
N396	lucky	syntactic
N397	wrestle	translation
N397	wrestle	semantic
N397	wrestle	syntactic
N398	keep	translation
N398	keep	semantic
N398	keep	syntactic
N398	keep	systematicity
N399	hamburger	semantic
N399	hamburger	translation
N399	hamburger	syntactic
N400	past	translation
N400	past	semantic
N400	past	syntactic
N401	#ref	translation
N402	(1h)good/thank–you+sheet–cake	translation
N403	ix–pl	translation
N404	king+area_2	translation
N405	tooth/glass	translation
N406	fall–into–place	translation
N407	seventeen	translation
N407	seventeen	semantic
N408	funny	translation
N408	funny	semantic
N408	funny	syntactic
N409	ahead	translation
N409	ahead	semantic
N410	every–thursday	translation
N411	jewelry	translation
N411	jewelry	semantic
N411	jewelry	syntactic
N412	witch	translation
N412	witch	semantic
N412	witch	syntactic
N412	witch	systematicity
N413	square	translation
N413	square	semantic
N413	square	syntactic
N414	water+water–rise	translation
N415	#bus	translation
N416	headline	translation
N416	headline	semantic
N417	rest	semantic
N417	rest	translation
N417	rest	syntactic
N418	wow/awful	translation
N419	fs–wart	translation
N420	think+agree	translation
N421	contact–lenses	translation
N422	navy	translation
N422	navy	semantic
N422	navy	syntactic
N423	nose	translation
N423	nose	semantic
N423	nose	syntactic
N424	whistle	translation
N424	whistle	semantic
N424	whistle	syntactic
N424	whistle	systematicity
N425	footstep	translation
N425	footstep	semantic
N426	fs–blouse	translation
N427	correct	translation
N427	correct	semantic
N427	correct	syntactic
N428	divide	translation
N428	divide	semantic
N428	divide	syntactic
N429	run	translation
N429	run	semantic
N429	run	syntactic
N430	mad	translation
N430	mad	semantic
N430	mad	syntactic
N431	office	translation
N431	office	semantic
N431	office	syntactic
N432	teach	translation
N432	teach	semantic
N432	teach	syntactic
N432	teach	systematicity
N433	third–in–list	translation
N434	balloon	translation
N434	balloon	semantic
N434	balloon	syntactic
N435	hanukkah	translation
N435	hanukkah	semantic
N435	hanukkah	syntactic
N436	coat	translation
N436	coat	semantic
N437	toss	translation
N437	toss	semantic
N437	toss	syntactic
N438	second–place	translation
N438	second–place	semantic
N439	graduate	translation
N439	graduate	semantic
N439	graduate	syntactic
N440	dry+washing–machine	translation
N441	helicopter	translation
N441	helicopter	semantic
N441	helicopter	syntactic
N441	helicopter	systematicity
N442	think+visualize	translation
N443	during/while	translation
N444	baking–sprinkles	translation
N445	boy_3+marry	translation
N446	autumn	translation
N446	autumn	semantic
N447	audiology+agent	translation
N448	(1)water+ocean	translation
N449	soon	translation
N449	soon	semantic
N449	soon	systematicity
N450	deep	translation
N450	deep	semantic
N450	deep	syntactic
N451	snake	semantic
N451	snake	translation
N451	snake	syntactic
N452	sign+language	translation
N453	sixteen	translation
N453	sixteen	semantic
N454	zero	translation
N454	zero	semantic
N454	zero	syntactic
N455	middle	translation
N455	middle	semantic
N455	middle	syntactic
N456	inject	translation
N456	inject	semantic
N456	inject	syntactic
N457	enter	translation
N457	enter	semantic
N457	enter	syntactic
N458	deconstruct	translation
N458	deconstruct	semantic
N459	cut–with–scissors	translation
N460	awkward	translation
N460	awkward	semantic
N460	awkward	syntactic
N461	bark	translation
N461	bark	semantic
N462	dare	translation
N462	dare	semantic
N463	sequence	translation
N463	sequence	semantic
N463	sequence	syntactic
N464	sting	translation
N464	sting	semantic
N464	sting	syntactic
N465	eight+hour	translation
N466	jump	translation
N466	jump	semantic
N466	jump	syntactic
N467	hurricane	translation
N467	hurricane	semantic
N467	hurricane	syntactic
N468	restaurant	translation
N468	restaurant	semantic
N468	restaurant	syntactic
N469	rope	translation
N469	rope	semantic
N469	rope	syntactic
N470	shelf/floor	translation
N471	swallow	translation
N471	swallow	semantic
N471	swallow	syntactic
N472	hit	translation
N472	hit	semantic
N472	hit	systematicity
N473	pull	translation
N473	pull	semantic
N473	pull	syntactic
N474	first	translation
N474	first	semantic
N474	first	syntactic
N475	breathe	translation
N475	breathe	semantic
N475	breathe	syntactic
N476	verb	syntactic
N476	verb	translation
N476	verb	semantic
N477	north+west_2	translation
N478	plane–ascend	translation
N479	bomb	translation
N479	bomb	semantic
N479	bomb	syntactic
N480	fed–up/full	translation
N481	#bbq	translation
N482	cake	translation
N482	cake	semantic
N482	cake	syntactic
N483	farm+agent	translation
N484	four–months	translation
N485	think+mean	translation
N486	mother+law	translation
N487	accompany	translation
N487	accompany	semantic
N488	black–out	translation
N489	storm/clouds	translation
N490	old	translation
N490	old	semantic
N490	old	syntactic
N491	rude	translation
N491	rude	semantic
N491	rude	syntactic
N492	golf	translation
N492	golf	semantic
N492	golf	syntactic
N493	choose	translation
N493	choose	semantic
N494	diaper	semantic
N494	diaper	translation
N494	diaper	syntactic
N495	fs–holy	translation
N496	some	semantic
N496	some	translation
N496	some	syntactic
N497	piano	translation
N497	piano	semantic
N497	piano	syntactic
N498	accident	translation
N498	accident	semantic
N498	accident	syntactic
N499	kick–off	translation
N499	kick–off	semantic
N500	subway	translation
N500	subway	semantic
N501	feel+grief	translation
N502	(s)old+#ff	translation
N503	rich	translation
N503	rich	semantic
N503	rich	syntactic
N504	assault	translation
N504	assault	semantic
N505	ask	translation
N505	ask	semantic
N505	ask	syntactic
N506	orthodox	translation
N506	orthodox	semantic
N507	lantern	translation
N507	lantern	semantic
N508	sliding–doors	translation
N509	fiance	translation
N509	fiance	semantic
N509	fiance	syntactic
N510	lose–weight	translation
N511	tall	translation
N511	tall	semantic
N512	long–sleeve	translation
N513	maximum	translation
N513	maximum	semantic
N514	take–up	translation
N514	take–up	semantic
N515	warm	semantic
N515	warm	translation
N515	warm	syntactic
N516	fs–hell	translation
N517	by–a–hair	translation
N518	ix:i	translation
N519	local	translation
N519	local	semantic
N520	every–two–years	translation
N521	sweatshirt	translation
N521	sweatshirt	semantic
N521	sweatshirt	syntactic
N522	pressure	translation
N522	pressure	semantic
N523	limit	translation
N523	limit	semantic
N524	really+nice/clean	translation
N525	laid–up+lie–down_2	translation
N526	tongue	translation
N526	tongue	semantic
N526	tongue	syntactic
N527	snow+motorcycle	translation
N528	mull–over+decide	translation
N529	politics	translation
N529	politics	semantic
N530	introduce	translation
N530	introduce	semantic
N530	introduce	syntactic
N531	memorize	translation
N531	memorize	semantic
N531	memorize	syntactic
N531	memorize	systematicity
N532	earth+sphere	translation
N533	conclusion	translation
N533	conclusion	semantic
N534	set–up	translation
N534	set–up	semantic
N535	stimulate	translation
N535	stimulate	semantic
N535	stimulate	syntactic
N536	safe_2+agent	translation
N537	foundation	translation
N537	foundation	semantic
N538	off	translation
N538	off	semantic
N538	off	syntactic
N539	idea	translation
N539	idea	semantic
N539	idea	syntactic
N540	toast	translation
N540	toast	semantic
N540	toast	syntactic
N541	shut–up	translation
N542	seven–months	translation
N543	six	translation
N543	six	semantic
N543	six	syntactic
N544	late	translation
N544	late	semantic
N544	late	syntactic
N545	cold	translation
N545	cold	semantic
N545	cold	syntactic
N546	center	translation
N546	center	semantic
N546	center	syntactic
N547	boy_2+correct	translation
N548	not–my–problem	translation
N549	necktie	translation
N549	necktie	semantic
N549	necktie	systematicity
N550	collar	translation
N550	collar	semantic
N551	#tv	translation
N552	art/design+agent	translation
N553	touch–heart	translation
N554	group	translation
N554	group	semantic
N554	group	syntactic
N555	university	translation
N555	university	semantic
N555	university	syntactic
N556	fine	translation
N556	fine	semantic
N557	fingerspell	translation
N557	fingerspell	syntactic
N558	champ	translation
N558	champ	semantic
N558	champ	syntactic
N559	complicated	translation
N559	complicated	semantic
N560	hall	translation
N560	hall	semantic
N560	hall	syntactic
N561	nice/clean	translation
N562	lousy	translation
N562	lousy	semantic
N562	lousy	syntactic
N563	hard	translation
N563	hard	semantic
N563	hard	syntactic
N564	lift	translation
N564	lift	semantic
N564	lift	systematicity
N565	(2h)think+shock	translation
N566	hear+close–window	translation
N567	period–on–page	translation
N568	association	translation
N568	association	semantic
N569	cook/kitchen	translation
N570	drunk	translation
N570	drunk	semantic
N570	drunk	syntactic
N571	cashier+agent	translation
N572	pink	translation
N572	pink	semantic
N572	pink	syntactic
N573	wild–about	translation
N574	personality	translation
N574	personality	semantic
N575	steal	translation
N575	steal	semantic
N575	steal	syntactic
N576	poss–1p	translation
N577	dive–off–board	translation
N578	elementary	translation
N578	elementary	semantic
N579	material	translation
N579	material	semantic
N580	eyebrow–frown	translation
N581	gradual–decline–a–lot	translation
N582	intercourse	translation
N582	intercourse	semantic
N583	stretch	translation
N583	stretch	semantic
N583	stretch	systematicity
N584	#all	translation
N585	reject	translation
N585	reject	semantic
N586	discriminate	translation
N586	discriminate	semantic
N587	vain	translation
N587	vain	semantic
N587	vain	syntactic
N588	holy	translation
N588	holy	semantic
N588	holy	syntactic
N589	stand–up	translation
N589	stand–up	semantic
N590	box/room	translation
N591	straight	phonological
N591	straight	translation
N591	straight	semantic
N591	straight	syntactic
N592	between/share	translation
N593	teeth	translation
N593	teeth	semantic
N593	teeth	syntactic
N594	(u)bowtie	translation
N595	motivate	translation
N595	motivate	semantic
N596	throw–away	translation
N597	think+decide	translation
N598	bawl–out	translation
N599	skyscraper	translation
N599	skyscraper	semantic
N600	course	translation
N600	course	semantic
N601	promiscuous	translation
N601	promiscuous	semantic
N602	court+box/room	translation
N603	six–dollars	translation
N604	#rr	translation
N605	(1h)haircut+agent	translation
N606	welcome	translation
N606	welcome	semantic
N607	later	translation
N607	later	semantic
N607	later	syntactic
N608	million/billion_2+agent	translation
N609	suggest	translation
N609	suggest	semantic
N610	eat–with–fork	translation
N611	gamble	translation
N611	gamble	semantic
N611	gamble	syntactic
N612	microphone	translation
N612	microphone	semantic
N612	microphone	syntactic
N613	scrape	translation
N613	scrape	semantic
N614	shoe–heel	translation
N615	seventy–eight	translation
N615	seventy–eight	semantic
N616	shoot–arrow	translation
N617	science	semantic
N617	science	translation
N617	science	syntactic
N618	serious	semantic
N618	serious	translation
N618	serious	syntactic
N619	eat+morning	translation
N620	advertise	translation
N620	advertise	semantic
N620	advertise	syntactic
N621	pizza	translation
N621	pizza	semantic
N622	watch–tv	translation
N623	priest	translation
N623	priest	semantic
N623	priest	syntactic
N624	challenge	translation
N624	challenge	semantic
N624	challenge	syntactic
N625	string	translation
N625	string	semantic
N625	string	syntactic
N626	rattle	translation
N626	rattle	semantic
N627	study	translation
N627	study	semantic
N627	study	syntactic
N628	common–sense	translation
N628	common–sense	semantic
N629	cracker/passover	translation
N630	anyway/not–matter	translation
N631	pass–out	translation
N632	six–weeks	translation
N633	greedy	translation
N633	greedy	semantic
N634	nun	translation
N634	nun	semantic
N635	want	translation
N635	want	semantic
N635	want	syntactic
N636	engagement	translation
N636	engagement	semantic
N636	engagement	syntactic
N637	label	translation
N637	label	semantic
N637	label	syntactic
N638	uniform	translation
N638	uniform	semantic
N639	eat–up	translation
N640	ten+eight	translation
N641	cut	translation
N641	cut	semantic
N642	elevator	translation
N642	elevator	semantic
N642	elevator	systematicity
N643	house+(p)pay	translation
N644	get–bigger	translation
N645	effort	translation
N645	effort	semantic
